"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
1,1,2,10,10,26,20,"1",-10
1,2,2,0,0,20,20,"1",-20
1,3,4,0,10,29,0,"1",0
1,4,3,30,50,78,30,"1",0
1,5,5,30,40,56,30,"1",0
1,6,4,100,40,29,100,"-1",0
1,7,4,50,30,45,50,"-1",0
1,8,3,100,100,75,100,"-1",0
1,9,5,100,30,29,100,"-1",0
1,10,2,10,30,56,0,"1",10
1,11,5,2,5,31,0,"1",2
1,12,3,100,100,78,80,"-1",20
1,13,4,0,5,22,0,"1",0
1,14,2,90,60,41,50,"-1",40
1,15,2,60,60,60,60,"0",0
1,16,2,20,20,26,10,"1",10
1,17,2,60,60,43,50,"-1",10
1,18,2,10,40,82,10,"1",0
1,19,2,0,10,21,0,"1",0
1,20,2,0,10,40,0,"1",0
1,21,2,10,40,35,20,"1",-10
1,22,2,100,100,60,100,"-1",0
1,23,2,50,80,71,50,"1",0
1,24,3,5,5,14,10,"1",-5
1,25,5,100,30,14,100,"-1",0
1,26,3,100,75,29,100,"-1",0
1,27,2,20,20,45,20,"1",0
1,28,3,20,20,20,20,"0",0
1,29,2,30,30,66,20,"1",10
1,30,4,100,30,48,100,"-1",0
1,31,4,70,50,19,20,"-1",50
1,32,4,100,30,33,100,"-1",0
1,33,3,10,10,15,20,"1",-10
1,34,3,100,80,80,100,"-1",0
1,35,2,0,20,17,0,"1",0
1,36,3,50,50,26,50,"-1",0
1,37,3,90,80,30,80,"-1",10
1,38,2,100,100,71,100,"-1",0
1,39,5,90,70,43,80,"-1",10
1,40,2,0,5,21,0,"1",0
1,41,2,5,20,17,20,"1",-15
1,42,2,0,30,13,0,"1",0
1,43,3,60,30,81,60,"1",0
1,44,4,80,20,19,80,"-1",0
1,45,4,5,10,19,10,"1",-5
1,46,4,100,40,45,100,"-1",0
1,47,3,100,20,20,100,"-1",0
1,48,5,100,30,18,100,"-1",0
1,49,2,0,5,11,0,"1",0
1,50,2,0,30,38,0,"1",0
1,51,2,0,10,26,0,"1",0
2,1,5,0,50,26,0,"1",0
2,2,2,99,25,20,15,"-1",84
2,3,4,10,20,29,10,"1",0
2,4,4,99,80,78,99,"-1",0
2,5,4,10,15,56,25,"1",-15
2,6,2,2,6,29,10,"1",-8
2,7,5,0,75,45,0,"1",0
2,8,4,80,44,75,80,"-1",0
2,9,5,75,10,29,50,"-1",25
2,10,4,50,50,56,25,"1",25
2,11,3,10,20,31,10,"1",0
2,12,3,99,99,78,99,"-1",0
2,13,5,0,5,22,10,"1",-10
2,14,2,99,50,41,75,"-1",24
2,15,2,99,80,60,99,"-1",0
2,16,2,75,15,26,75,"-1",0
2,17,2,10,20,43,10,"1",0
2,18,2,75,40,82,25,"1",50
2,19,2,0,50,21,0,"1",0
2,20,3,10,10,40,25,"1",-15
2,21,2,99,60,35,99,"-1",0
2,22,2,99,80,60,99,"-1",0
2,23,2,75,50,71,75,"-1",0
2,24,3,20,20,14,15,"-1",5
2,25,4,20,10,14,20,"-1",0
2,26,4,99,80,29,99,"-1",0
2,27,2,18,18,45,15,"1",3
2,28,3,33,33,20,20,"-1",13
2,29,2,99,80,66,99,"-1",0
2,30,3,15,10,48,15,"1",0
2,31,4,20,75,19,75,"-1",-55
2,32,4,5,60,33,10,"1",-5
2,33,4,99,75,15,80,"-1",19
2,34,2,5,10,80,50,"1",-45
2,35,2,1,10,17,10,"1",-9
2,36,2,80,80,26,10,"-1",70
2,37,5,50,50,30,50,"-1",0
2,38,2,90,90,71,99,"-1",-9
2,39,2,15,20,43,10,"1",5
2,40,5,99,20,21,99,"-1",0
2,41,3,10,5,17,50,"1",-40
2,42,3,20,25,13,25,"-1",-5
2,43,4,20,33,81,50,"1",-30
2,44,3,10,10,19,10,"1",0
2,45,3,0,25,19,0,"1",0
2,46,4,0,15,45,0,"1",0
2,47,4,5,15,20,0,"1",5
2,48,2,10,15,18,10,"1",0
2,49,5,10,20,11,10,"1",0
2,50,2,0,60,38,0,"1",0
2,51,2,10,50,26,0,"1",10
3,1,5,8,3,26,5,"1",3
3,2,5,1,1,20,1,"1",0
3,3,3,0,3,29,0,"1",0
3,4,3,10,3,78,10,"1",0
3,5,5,10,3,56,10,"1",0
3,6,2,1,2,29,2,"1",-1
3,7,4,1,3,45,0,"1",1
3,8,4,8,9,75,8,"1",0
3,9,4,15,2,29,3,"1",12
3,10,4,2,3,56,2,"1",0
3,11,4,5,3,31,5,"1",0
3,12,2,10,10,78,10,"1",0
3,13,5,0,3,22,0,"1",0
3,14,2,0,2,41,0,"1",0
3,15,2,2,2,60,2,"1",0
3,16,2,1,1,26,1,"1",0
3,17,2,2,3,43,2,"1",0
3,18,2,8,6,82,2,"1",6
3,19,2,0,4,21,0,"1",0
3,20,2,0,3,40,0,"1",0
3,21,2,1,3,35,2,"1",-1
3,22,2,8,9,60,8,"1",0
3,23,2,2,3,71,2,"1",0
3,24,4,6,4,14,5,"1",1
3,25,3,0,2,14,1,"1",-1
3,26,4,10,7,29,10,"1",0
3,27,2,0,1,45,1,"1",-1
3,28,3,5,5,20,7,"1",-2
3,29,2,7,8,66,10,"1",-3
3,30,2,0,2,48,0,"1",0
3,31,2,10,2,19,0,"1",10
3,32,5,10,2,33,10,"1",0
3,33,4,7,5,15,10,"1",-3
3,34,3,0,2,80,0,"1",0
3,35,2,0,2,17,0,"1",0
3,36,2,5,7,26,5,"1",0
3,37,3,1,1,30,5,"1",-4
3,38,2,10,80,71,10,"1",0
3,39,2,0,1,43,0,"1",0
3,40,4,10,3,21,10,"1",0
3,41,2,0,2,17,0,"1",0
3,42,4,2,5,13,2,"1",0
3,43,3,0,1,81,0,"1",0
3,44,3,1,3,19,5,"1",-4
3,45,4,2,6,19,0,"1",2
3,46,4,8,4,45,8,"1",0
3,47,3,0,3,20,0,"1",0
3,48,2,5,3,18,5,"1",0
3,49,4,2,4,11,4,"1",-2
3,50,3,0,4,38,0,"1",0
3,51,3,7,4,26,5,"1",2
4,1,3,50,40,26,25,"-1",25
4,2,5,15,10,20,10,"1",5
4,3,3,0,40,29,0,"1",0
4,4,4,100,100,78,100,"-1",0
4,5,5,40,50,56,35,"1",5
4,6,4,100,50,29,100,"-1",0
4,7,4,0,15,45,0,"1",0
4,8,2,45,50,75,45,"1",0
4,9,4,25,20,29,45,"1",-20
4,10,4,85,85,56,70,"-1",15
4,11,4,65,30,31,75,"-1",-10
4,12,2,100,80,78,100,"-1",0
4,13,4,0,10,22,0,"1",0
4,14,2,45,60,41,35,"-1",10
4,15,2,50,40,60,45,"1",5
4,16,2,85,20,26,85,"-1",0
4,17,2,40,50,43,45,"1",-5
4,18,2,100,80,82,100,"-1",0
4,19,2,10,35,21,20,"1",-10
4,20,2,10,0,40,10,"1",0
4,21,3,40,45,35,65,"-1",-25
4,22,2,80,80,60,75,"-1",5
4,23,2,85,70,71,95,"-1",-10
4,24,2,40,40,14,15,"-1",25
4,25,5,100,40,14,100,"-1",0
4,26,3,100,85,29,85,"-1",15
4,27,3,60,60,45,95,"-1",-35
4,28,3,19,25,20,20,"1",-1
4,29,2,90,85,66,85,"-1",5
4,30,4,100,40,48,100,"-1",0
