"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
1,4,3,30,50,78,30,"1",0
1,8,3,100,100,75,100,"-1",0
1,12,3,100,100,78,80,"-1",20
1,24,3,5,5,14,10,"1",-5
1,26,3,100,75,29,100,"-1",0
1,28,3,20,20,20,20,"0",0
1,33,3,10,10,15,20,"1",-10
1,34,3,100,80,80,100,"-1",0
1,36,3,50,50,26,50,"-1",0
1,37,3,90,80,30,80,"-1",10
1,43,3,60,30,81,60,"1",0
1,47,3,100,20,20,100,"-1",0
2,11,3,10,20,31,10,"1",0
2,12,3,99,99,78,99,"-1",0
2,20,3,10,10,40,25,"1",-15
2,24,3,20,20,14,15,"-1",5
2,28,3,33,33,20,20,"-1",13
2,30,3,15,10,48,15,"1",0
2,41,3,10,5,17,50,"1",-40
2,42,3,20,25,13,25,"-1",-5
2,44,3,10,10,19,10,"1",0
2,45,3,0,25,19,0,"1",0
3,3,3,0,3,29,0,"1",0
3,4,3,10,3,78,10,"1",0
3,25,3,0,2,14,1,"1",-1
3,28,3,5,5,20,7,"1",-2
3,34,3,0,2,80,0,"1",0
3,37,3,1,1,30,5,"1",-4
3,43,3,0,1,81,0,"1",0
3,44,3,1,3,19,5,"1",-4
3,47,3,0,3,20,0,"1",0
3,50,3,0,4,38,0,"1",0
3,51,3,7,4,26,5,"1",2
4,1,3,50,40,26,25,"-1",25
4,3,3,0,40,29,0,"1",0
4,21,3,40,45,35,65,"-1",-25
4,26,3,100,85,29,85,"-1",15
4,27,3,60,60,45,95,"-1",-35
4,28,3,19,25,20,20,"1",-1
4,31,3,75,85,19,15,"-1",60
4,33,3,100,70,15,100,"-1",0
4,37,3,30,30,30,65,"0",-35
4,38,3,100,95,71,100,"-1",0
4,39,3,40,55,43,30,"1",10
4,41,3,45,33,17,75,"-1",-30
4,42,3,100,95,13,100,"-1",0
4,43,3,5,20,81,35,"1",-30
4,44,3,30,30,19,20,"-1",10
4,45,3,100,60,19,75,"-1",25
4,50,3,0,20,38,0,"1",0
5,1,3,72,42,26,60,"-1",12
5,3,3,0,36,29,0,"1",0
5,4,3,95,98,78,80,"-1",15
5,6,3,5,10,29,5,"1",0
5,7,3,80,35,45,90,"-1",-10
5,8,3,10,30,75,20,"1",-10
5,9,3,36,22,29,40,"-1",-4
5,10,3,28,67,56,60,"1",-32
5,11,3,5,20,31,5,"1",0
5,12,3,20,36,78,20,"1",0
5,15,3,46,78,60,30,"1",16
5,17,3,0,18,43,10,"1",-10
5,19,3,0,32,21,0,"1",0
5,20,3,0,22,40,0,"1",0
5,21,3,20,20,35,20,"1",0
5,24,3,2,25,14,10,"1",-8
5,25,3,1,36,14,0,"1",1
5,26,3,100,90,29,99,"-1",1
5,28,3,54,65,20,10,"-1",44
5,30,3,0,19,48,0,"1",0
5,31,3,80,50,19,10,"-1",70
5,32,3,80,40,33,80,"-1",0
5,33,3,70,60,15,20,"-1",50
5,34,3,50,20,80,80,"1",-30
5,35,3,50,64,17,20,"-1",30
5,37,3,80,65,30,80,"-1",0
