"Participant","Event","E1","eBR","BR","Valence","E2","trialtype","signed_EE","abs_EE","direction","update"
1,1,77,65,56,3,77,"neutral",21,21,-1,0
1,2,33,50,29,3,3,"neutral",4,4,-1,30
1,3,50,40,20,3,40,"neutral",30,30,-1,10
1,4,10,40,17,3,70,"neutral",-7,7,1,60
1,5,50,35,38,3,50,"neutral",12,12,-1,0
1,6,3,30,26,3,3,"neutral",-23,23,1,0
1,7,65,50,62,3,65,"neutral",3,3,-1,0
1,8,20,40,59,3,30,"neutral",-39,39,1,10
1,9,65,35,65,3,45,"neutral",0,0,0,0
1,10,60,70,55,2,70,"negative",5,5,-1,-10
1,11,40,60,52,2,65,"negative",-12,12,1,25
1,12,75,70,48,3,75,"neutral",27,27,-1,0
1,13,10,17,30,3,40,"neutral",-20,20,1,30
1,14,40,60,55,4,60,"positive",-15,15,1,20
1,15,20,55,42,3,20,"neutral",-22,22,1,0
1,16,75,60,32,3,65,"neutral",43,43,-1,10
1,17,75,65,41,3,50,"neutral",34,34,-1,25
1,18,70,70,48,1,60,"negative",22,22,-1,10
1,19,50,40,49,3,50,"neutral",1,1,-1,0
1,20,20,20,44,3,35,"neutral",-24,24,1,15
1,21,40,35,33,2,30,"negative",7,7,-1,10
1,22,45,65,51,3,50,"neutral",-6,6,1,5
1,23,65,65,37,3,50,"neutral",28,28,-1,15
1,24,70,75,43,3,35,"neutral",27,27,-1,35
1,25,35,40,39,4,45,"positive",-4,4,1,10
1,26,70,75,35,3,65,"neutral",35,35,-1,5
1,27,60,55,30,2,40,"negative",30,30,-1,20
1,28,65,30,70,3,35,"neutral",-5,5,1,-30
1,29,70,75,10,3,70,"neutral",60,60,-1,0
1,30,33,33,23,2,20,"negative",10,10,-1,13
1,31,70,50,23,2,65,"negative",47,47,-1,5
1,32,35,45,36,2,40,"negative",-1,1,1,5
1,33,70,75,33,3,30,"neutral",37,37,-1,40
1,34,25,55,36,3,35,"neutral",-11,11,1,10
1,35,15,35,45,4,20,"positive",-30,30,1,5
1,36,65,60,43,3,60,"neutral",22,22,-1,5
1,37,77,60,38,3,65,"neutral",39,39,-1,12
1,38,70,70,33,3,40,"neutral",37,37,-1,30
1,39,5,20,47,2,30,"negative",-42,42,1,25
2,1,60,75,56,5,56,"positive",4,4,-1,4
2,2,65,45,29,4,33,"positive",36,36,-1,32
