Participant,Event,Valence,E1,eBR,BR,E2
1,1,2,10,10,26,20
1,2,2,0,0,20,20
1,3,4,0,10,29,0
1,4,3,30,50,78,30
1,5,5,30,40,56,30
1,6,4,100,40,29,100
1,7,4,50,30,45,50
1,8,3,100,100,75,100
1,9,5,100,30,29,100
1,10,2,10,30,56,0
1,11,5,2,5,31,0
1,12,3,100,100,78,80
1,13,4,0,5,22,0
1,14,2,90,60,41,50
1,15,2,60,60,60,60
1,16,2,20,20,26,10
1,17,2,60,60,43,50
1,18,2,10,40,82,10
1,19,2,0,10,21,0
1,20,2,0,10,40,0
1,21,2,10,40,35,20
1,22,2,100,100,60,100
1,23,2,50,80,71,50
1,24,3,5,5,14,10
1,25,5,100,30,14,100
1,26,3,100,75,29,100
1,27,2,20,20,45,20
1,28,3,20,20,20,20
1,29,2,30,30,66,20
1,30,4,100,30,48,100
1,31,4,70,50,19,20
1,32,4,100,30,33,100
1,33,3,10,10,15,20
1,34,3,100,80,80,100
1,35,2,0,20,17,0
1,36,3,50,50,26,50
1,37,3,90,80,30,80
1,38,2,100,100,71,100
1,39,5,90,70,43,80
1,40,2,0,5,21,0
1,41,2,5,20,17,20
1,42,2,0,30,13,0
1,43,3,60,30,81,60
1,44,4,80,20,19,80
1,45,4,5,10,19,10
1,46,4,100,40,45,100
1,47,3,100,20,20,100
1,48,5,100,30,18,100
1,49,2,0,5,11,0
1,50,2,0,30,38,0
1,51,2,0,10,26,0
2,1,5,0,50,26,0
2,2,2,99,25,20,15
2,3,4,10,20,29,10
2,4,4,99,80,78,99
2,5,4,10,15,56,25
2,6,2,2,6,29,10
2,7,5,0,75,45,0
2,8,4,80,44,75,80
2,9,5,75,10,29,50
2,10,4,50,50,56,25
2,11,3,10,20,31,10
2,12,3,99,99,78,99
2,13,5,0,5,22,10
2,14,2,99,50,41,75
2,15,2,99,80,60,99
2,16,2,75,15,26,75
2,17,2,10,20,43,10
2,18,2,75,40,82,25
2,19,2,0,50,21,0
2,20,3,10,10,40,25
2,21,2,99,60,35,99
2,22,2,99,80,60,99
